,Integral Bipartite OMD 𝜂=0.015517556536555207,Integral Bipartite OMD 𝜂=0.01,Integral Bipartite OMD 𝜂=0.05,Integral Bipartite OMD 𝜂=0.1,Integral Bipartite OMD 𝜂=0.15,Integral Bipartite OMD 𝜂=0.2,Integral Bipartite OMD 𝜂=0.25,Optimal Static Cache
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,0.75,1.0,0.75,1.0,0.75,1.0,1.0,0.75
2,0.8333333333333334,1.0,0.6666666666666666,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334
3,0.875,0.875,0.75,1.0,0.875,1.0,0.875,0.875
4,0.9,0.9,0.8,1.0,0.9,1.0,0.9,0.8
5,0.9166666666666666,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666666,1.0,0.9166666666666666,0.8333333333333334
6,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571,0.7857142857142857
7,0.875,0.875,0.875,1.0,0.875,1.0,0.875,0.75
8,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.7777777777777778
9,0.9,0.9,0.85,1.0,0.9,0.95,0.9,0.75
10,0.8636363636363636,0.9090909090909091,0.8636363636363636,1.0,0.8636363636363636,0.9545454545454546,0.9090909090909091,0.7272727272727273
11,0.8333333333333334,0.9166666666666666,0.875,1.0,0.8333333333333334,0.9583333333333334,0.9166666666666666,0.75
12,0.8076923076923077,0.9230769230769231,0.8846153846153846,1.0,0.8076923076923077,0.9615384615384616,0.9230769230769231,0.7307692307692307
13,0.7857142857142857,0.9285714285714286,0.8928571428571429,1.0,0.7857142857142857,0.9642857142857143,0.9285714285714286,0.75
14,0.8,0.9333333333333333,0.9,1.0,0.8,0.9333333333333333,0.9333333333333333,0.7333333333333333
15,0.8125,0.9375,0.90625,1.0,0.78125,0.9375,0.90625,0.75
16,0.8235294117647058,0.9411764705882353,0.8823529411764706,1.0,0.7647058823529411,0.9411764705882353,0.9117647058823529,0.7647058823529411
17,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9722222222222222,0.7777777777777778,0.9166666666666666,0.8888888888888888,0.7777777777777778
18,0.8421052631578947,0.9210526315789473,0.868421052631579,0.9736842105263158,0.7894736842105263,0.9210526315789473,0.868421052631579,0.7894736842105263
19,0.85,0.9,0.875,0.975,0.8,0.925,0.875,0.8
20,0.8571428571428571,0.8809523809523809,0.8809523809523809,0.9761904761904762,0.8095238095238095,0.9285714285714286,0.8571428571428571,0.8095238095238095
21,0.8636363636363636,0.8863636363636364,0.8863636363636364,0.9772727272727273,0.8181818181818182,0.9090909090909091,0.8636363636363636,0.8181818181818182
22,0.8478260869565217,0.8913043478260869,0.8913043478260869,0.9782608695652174,0.8043478260869565,0.9130434782608695,0.8695652173913043,0.8043478260869565
23,0.8333333333333334,0.8958333333333334,0.8958333333333334,0.9791666666666666,0.7916666666666666,0.9166666666666666,0.8541666666666666,0.8125
24,0.84,0.9,0.9,0.98,0.8,0.9,0.86,0.82
25,0.8461538461538461,0.8846153846153846,0.9038461538461539,0.9615384615384616,0.8076923076923077,0.8846153846153846,0.8653846153846154,0.8269230769230769
26,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8148148148148148,0.8703703703703703,0.8703703703703703,0.8333333333333334
27,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.9464285714285714,0.8035714285714286,0.8571428571428571,0.875,0.8392857142857143
28,0.8620689655172413,0.896551724137931,0.8620689655172413,0.9482758620689655,0.8103448275862069,0.8620689655172413,0.8793103448275862,0.8275862068965517
29,0.85,0.9,0.8666666666666667,0.9333333333333333,0.8166666666666667,0.85,0.8666666666666667,0.8166666666666667
30,0.8548387096774194,0.9032258064516129,0.8709677419354839,0.9193548387096774,0.8064516129032258,0.8387096774193549,0.8548387096774194,0.8064516129032258
31,0.859375,0.90625,0.875,0.90625,0.8125,0.828125,0.859375,0.796875
32,0.8636363636363636,0.8787878787878788,0.8787878787878788,0.9090909090909091,0.803030303030303,0.8333333333333334,0.8636363636363636,0.803030303030303
33,0.8676470588235294,0.8823529411764706,0.8676470588235294,0.8970588235294118,0.7941176470588235,0.8382352941176471,0.8529411764705882,0.8088235294117647
34,0.8714285714285714,0.8857142857142857,0.8571428571428571,0.9,0.8,0.8428571428571429,0.8428571428571429,0.8142857142857143
35,0.875,0.8611111111111112,0.8611111111111112,0.9027777777777778,0.8055555555555556,0.8472222222222222,0.8333333333333334,0.8194444444444444
36,0.8783783783783784,0.8648648648648649,0.8648648648648649,0.8918918918918919,0.8108108108108109,0.8378378378378378,0.8378378378378378,0.8108108108108109
37,0.881578947368421,0.868421052631579,0.868421052631579,0.8947368421052632,0.8157894736842105,0.8421052631578947,0.8421052631578947,0.8157894736842105
38,0.8846153846153846,0.8717948717948718,0.8717948717948718,0.8846153846153846,0.8205128205128205,0.8461538461538461,0.8333333333333334,0.8076923076923077
39,0.8875,0.875,0.875,0.8875,0.8125,0.8375,0.825,0.8125
40,0.8902439024390244,0.8536585365853658,0.8780487804878049,0.8902439024390244,0.8170731707317073,0.8414634146341463,0.8170731707317073,0.8170731707317073
41,0.8809523809523809,0.8571428571428571,0.8809523809523809,0.8809523809523809,0.8214285714285714,0.8333333333333334,0.8214285714285714,0.8214285714285714
42,0.8837209302325582,0.8604651162790697,0.8837209302325582,0.8837209302325582,0.8255813953488372,0.8372093023255814,0.8255813953488372,0.8255813953488372
