,Integral Bipartite OMD,Naive Bipartite LFU,Naive Bipartite OMD,Optimal Static Cache
0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,0.9,1.0
5,1.0,1.0,0.9166666666666666,1.0
6,1.0,1.0,0.9285714285714286,1.0
7,0.875,1.0,0.9375,0.875
8,0.8888888888888888,1.0,0.9444444444444444,0.8888888888888888
9,0.9,1.0,0.95,0.9
10,0.9090909090909091,1.0,0.9545454545454546,0.9090909090909091
11,0.9166666666666666,1.0,0.9583333333333334,0.9166666666666666
12,0.9230769230769231,1.0,0.9615384615384616,0.9230769230769231
13,0.9285714285714286,1.0,0.9642857142857143,0.9285714285714286
14,0.9333333333333333,1.0,0.9666666666666667,0.9333333333333333
15,0.9375,1.0,0.90625,0.9375
16,0.8823529411764706,1.0,0.9117647058823529,0.8823529411764706
17,0.8888888888888888,1.0,0.9166666666666666,0.8888888888888888
18,0.8947368421052632,1.0,0.9210526315789473,0.8947368421052632
19,0.9,1.0,0.925,0.9
20,0.9047619047619048,1.0,0.9285714285714286,0.9047619047619048
21,0.9090909090909091,1.0,0.9318181818181818,0.9090909090909091
22,0.9130434782608695,1.0,0.9347826086956522,0.9130434782608695
23,0.9166666666666666,1.0,0.9375,0.9166666666666666
24,0.92,1.0,0.94,0.92
25,0.8846153846153846,1.0,0.9423076923076923,0.9230769230769231
26,0.8888888888888888,1.0,0.9444444444444444,0.9259259259259259
27,0.8571428571428571,1.0,0.9464285714285714,0.8928571428571429
28,0.8620689655172413,1.0,0.9482758620689655,0.896551724137931
29,0.8666666666666667,1.0,0.95,0.8666666666666667
30,0.8709677419354839,1.0,0.9516129032258065,0.8709677419354839
31,0.875,1.0,0.953125,0.875
32,0.8787878787878788,1.0,0.9545454545454546,0.8787878787878788
33,0.8823529411764706,1.0,0.9558823529411765,0.8823529411764706
34,0.8571428571428571,1.0,0.9571428571428572,0.8857142857142857
35,0.8611111111111112,1.0,0.9583333333333334,0.8888888888888888
36,0.8378378378378378,1.0,0.9594594594594594,0.8648648648648649
37,0.8421052631578947,1.0,0.9605263157894737,0.868421052631579
38,0.8461538461538461,1.0,0.9615384615384616,0.8717948717948718
39,0.85,1.0,0.9375,0.875
40,0.8536585365853658,1.0,0.926829268292683,0.8780487804878049
41,0.8571428571428571,1.0,0.9285714285714286,0.8809523809523809
42,0.8604651162790697,1.0,0.9302325581395349,0.8837209302325582
43,0.8636363636363636,1.0,0.9318181818181818,0.8863636363636364
44,0.8666666666666667,1.0,0.9333333333333333,0.8888888888888888
45,0.8478260869565217,1.0,0.9347826086956522,0.8913043478260869
46,0.851063829787234,1.0,0.9361702127659575,0.8936170212765957
47,0.8333333333333334,1.0,0.9375,0.8958333333333334
48,0.8367346938775511,1.0,0.9387755102040817,0.8979591836734694
49,0.84,1.0,0.94,0.88
50,0.8431372549019608,1.0,0.9411764705882353,0.8823529411764706
51,0.8461538461538461,1.0,0.9423076923076923,0.8846153846153846
52,0.8490566037735849,1.0,0.9433962264150944,0.8867924528301887
53,0.8518518518518519,1.0,0.9259259259259259,0.8888888888888888
54,0.8363636363636363,1.0,0.9181818181818182,0.8909090909090909
55,0.8392857142857143,1.0,0.9196428571428571,0.8928571428571429
56,0.8245614035087719,1.0,0.9210526315789473,0.8771929824561403
57,0.8275862068965517,1.0,0.9224137931034483,0.8793103448275862
58,0.8305084745762712,1.0,0.923728813559322,0.8813559322033898
59,0.8333333333333334,1.0,0.925,0.8833333333333333
60,0.8360655737704918,1.0,0.9262295081967213,0.8852459016393442
61,0.8387096774193549,1.0,0.9274193548387096,0.8870967741935484
62,0.8412698412698413,1.0,0.9285714285714286,0.8888888888888888
63,0.84375,1.0,0.921875,0.890625
64,0.8461538461538461,1.0,0.9230769230769231,0.8923076923076924
65,0.8333333333333334,1.0,0.9242424242424242,0.8939393939393939
66,0.835820895522388,1.0,0.9253731343283582,0.8955223880597015
67,0.8382352941176471,1.0,0.9264705882352942,0.8970588235294118
68,0.8405797101449275,1.0,0.927536231884058,0.8985507246376812
69,0.8428571428571429,1.0,0.9285714285714286,0.8857142857142857
70,0.8450704225352113,1.0,0.9295774647887324,0.8873239436619719
71,0.8472222222222222,1.0,0.9305555555555556,0.8888888888888888
72,0.8493150684931506,1.0,0.9315068493150684,0.8904109589041096
73,0.8513513513513513,1.0,0.9324324324324325,0.8918918918918919
74,0.84,1.0,0.9333333333333333,0.8933333333333333
75,0.8421052631578947,1.0,0.9342105263157895,0.8947368421052632
76,0.8441558441558441,1.0,0.935064935064935,0.8831168831168831
77,0.8461538461538461,1.0,0.9358974358974359,0.8846153846153846
78,0.8481012658227848,1.0,0.9367088607594937,0.8860759493670886
79,0.85,1.0,0.9375,0.8875
80,0.8518518518518519,1.0,0.9259259259259259,0.8888888888888888
81,0.8536585365853658,1.0,0.926829268292683,0.8902439024390244
82,0.8554216867469879,1.0,0.927710843373494,0.891566265060241
83,0.8571428571428571,1.0,0.9285714285714286,0.8928571428571429
84,0.8588235294117647,1.0,0.9294117647058824,0.8941176470588236
85,0.8488372093023255,1.0,0.9186046511627907,0.8953488372093024
86,0.8505747126436781,1.0,0.9137931034482759,0.896551724137931
87,0.8522727272727273,1.0,0.9147727272727273,0.8977272727272727
88,0.8539325842696629,1.0,0.9157303370786517,0.898876404494382
89,0.8555555555555555,1.0,0.9166666666666666,0.8888888888888888
90,0.8571428571428571,1.0,0.9175824175824175,0.8901098901098901
91,0.8586956521739131,1.0,0.9184782608695652,0.8913043478260869
92,0.8602150537634409,1.0,0.9193548387096774,0.8924731182795699
93,0.8617021276595744,1.0,0.9202127659574468,0.8936170212765957
94,0.8526315789473684,1.0,0.9210526315789473,0.8947368421052632
95,0.8541666666666666,1.0,0.921875,0.8958333333333334
96,0.8556701030927835,1.0,0.9226804123711341,0.8865979381443299
97,0.8571428571428571,1.0,0.923469387755102,0.8877551020408163
98,0.8585858585858586,1.0,0.9242424242424242,0.8888888888888888
99,0.86,1.0,0.92,0.89
100,0.8613861386138614,1.0,0.9207920792079208,0.8910891089108911
101,0.8627450980392157,1.0,0.9215686274509803,0.8921568627450981
102,0.8640776699029126,1.0,0.9223300970873787,0.8932038834951457
103,0.8653846153846154,1.0,0.9230769230769231,0.8942307692307693
104,0.8666666666666667,1.0,0.9238095238095239,0.8952380952380953
105,0.8584905660377359,1.0,0.9245283018867925,0.8962264150943396
