,Bipartite Integral OMD,Optimal Static Cache
0,1.0,1.0
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,0.9,0.9
5,0.8333333333333334,0.8333333333333334
6,0.8571428571428571,0.8571428571428571
7,0.875,0.875
8,0.8888888888888888,0.8888888888888888
9,0.9,0.9
10,0.9090909090909091,0.9090909090909091
11,0.9166666666666666,0.9166666666666666
12,0.9230769230769231,0.9230769230769231
13,0.9285714285714286,0.9285714285714286
14,0.9333333333333333,0.9333333333333333
15,0.9375,0.9375
16,0.9117647058823529,0.9117647058823529
17,0.9166666666666666,0.9166666666666666
18,0.9210526315789473,0.9210526315789473
19,0.925,0.925
20,0.9285714285714286,0.9285714285714286
21,0.9318181818181818,0.9318181818181818
22,0.9347826086956522,0.9347826086956522
23,0.9166666666666666,0.9166666666666666
24,0.92,0.92
25,0.9038461538461539,0.9038461538461539
26,0.9074074074074074,0.9074074074074074
27,0.8928571428571429,0.8928571428571429
28,0.896551724137931,0.896551724137931
29,0.9,0.9
30,0.8870967741935484,0.8870967741935484
31,0.890625,0.890625
32,0.8939393939393939,0.8939393939393939
33,0.8970588235294118,0.8970588235294118
34,0.9,0.9
35,0.9027777777777778,0.9027777777777778
36,0.9054054054054054,0.9054054054054054
37,0.9078947368421053,0.9078947368421053
38,0.9102564102564102,0.9102564102564102
39,0.9125,0.9125
40,0.9024390243902439,0.9024390243902439
41,0.9047619047619048,0.9047619047619048
42,0.9069767441860465,0.9069767441860465
43,0.8977272727272727,0.8977272727272727
44,0.9,0.9
45,0.9021739130434783,0.9021739130434783
46,0.9042553191489362,0.9042553191489362
47,0.90625,0.90625
48,0.9081632653061225,0.9081632653061225
49,0.91,0.91
50,0.9117647058823529,0.9117647058823529
51,0.9038461538461539,0.9134615384615384
52,0.9056603773584906,0.9150943396226415
53,0.9074074074074074,0.9166666666666666
54,0.9,0.9090909090909091
55,0.9017857142857143,0.9107142857142857
56,0.9035087719298246,0.9122807017543859
57,0.896551724137931,0.9137931034482759
58,0.8983050847457628,0.9152542372881356
59,0.8916666666666667,0.9083333333333333
60,0.8852459016393442,0.9016393442622951
61,0.8870967741935484,0.9032258064516129
62,0.8888888888888888,0.9047619047619048
63,0.8828125,0.8984375
64,0.8692307692307693,0.8846153846153846
65,0.8712121212121212,0.8787878787878788
66,0.8731343283582089,0.8805970149253731
67,0.875,0.8823529411764706
68,0.8695652173913043,0.8768115942028986
69,0.8642857142857143,0.8714285714285714
70,0.8661971830985915,0.8732394366197183
71,0.8611111111111112,0.875
72,0.863013698630137,0.8767123287671232
73,0.8648648648648649,0.8783783783783784
74,0.8666666666666667,0.88
75,0.868421052631579,0.881578947368421
76,0.8701298701298701,0.8831168831168831
77,0.8717948717948718,0.8846153846153846
78,0.8734177215189873,0.8860759493670886
79,0.875,0.8875
80,0.8703703703703703,0.8827160493827161
81,0.8719512195121951,0.8841463414634146
82,0.8734939759036144,0.8795180722891566
83,0.875,0.8809523809523809
84,0.8705882352941177,0.8764705882352941
85,0.872093023255814,0.877906976744186
86,0.8735632183908046,0.8793103448275862
87,0.8693181818181818,0.8806818181818182
88,0.8651685393258427,0.8820224719101124
89,0.8666666666666667,0.8777777777777778
90,0.8681318681318682,0.8791208791208791
91,0.8695652173913043,0.8804347826086957
92,0.8655913978494624,0.8817204301075269
93,0.8617021276595744,0.8829787234042553
94,0.8631578947368421,0.8842105263157894
95,0.859375,0.8854166666666666
96,0.8608247422680413,0.8865979381443299
97,0.8622448979591837,0.8877551020408163
98,0.8585858585858586,0.8838383838383839
99,0.855,0.88
100,0.8564356435643564,0.8811881188118812
101,0.8578431372549019,0.8823529411764706
102,0.8592233009708737,0.883495145631068
103,0.8605769230769231,0.8846153846153846
104,0.8571428571428571,0.8809523809523809
105,0.8584905660377359,0.8820754716981132
106,0.8598130841121495,0.883177570093458
107,0.8564814814814815,0.875
108,0.8577981651376146,0.8761467889908257
109,0.8590909090909091,0.8727272727272727
110,0.8603603603603603,0.8738738738738738
111,0.8616071428571429,0.875
112,0.8628318584070797,0.8761061946902655
113,0.8640350877192983,0.8771929824561403
114,0.8652173913043478,0.8782608695652174
115,0.8663793103448276,0.8793103448275862
116,0.8675213675213675,0.8803418803418803
117,0.8686440677966102,0.8813559322033898
118,0.8697478991596639,0.8823529411764706
119,0.8666666666666667,0.8791666666666667
120,0.8636363636363636,0.8801652892561983
121,0.860655737704918,0.8770491803278688
122,0.8617886178861789,0.8780487804878049
123,0.8629032258064516,0.8790322580645161
124,0.864,0.88
125,0.8611111111111112,0.8809523809523809
